date,open,high,low,close,klgdkl
2017-11-08,81.6,81.6,81.6,81.6,26010.0
2017-11-09,87.3,87.3,87.3,87.3,520010.0
2017-11-10,93.2,93.2,90.0,92.0,86270.0
2017-11-13,89.0,89.0,85.6,85.9,133560.0
2017-11-14,82.0,84.5,81.0,84.0,56000.0
2017-11-15,84.9,86.0,82.6,84.9,171420.0
2017-11-16,85.4,85.4,84.2,84.5,37790.0
2017-11-17,83.0,84.6,82.6,82.6,85000.0
2017-11-20,82.6,83.6,82.0,82.0,53540.0
2017-11-21,82.0,82.1,79.0,79.6,94910.0
2017-11-22,79.5,79.7,79.0,79.7,39290.0
2017-11-23,80.1,81.0,79.7,80.0,24570.0
2017-11-24,80.0,83.0,80.0,83.0,40890.0
2017-11-27,83.0,83.0,81.0,82.0,45650.0
2017-11-28,80.3,82.5,80.3,82.0,42930.0
2017-11-29,82.0,83.2,82.0,82.9,95470.0
2017-11-30,82.5,82.5,82.0,82.5,27060.0
2017-12-01,82.5,82.5,82.0,82.0,15800.0
2017-12-04,82.0,82.0,80.0,81.0,20540.0
2017-12-05,81.9,81.9,80.5,80.5,10720.0
2017-12-06,80.1,80.5,79.6,80.5,53530.0
2017-12-07,81.6,81.6,79.1,79.3,4440.0
2017-12-08,79.3,79.3,78.0,79.3,21050.0
2017-12-11,79.3,80.0,79.0,79.0,12920.0
2017-12-12,77.5,79.4,77.5,79.0,4960.0
2017-12-13,79.0,79.0,78.0,78.2,4560.0
2017-12-14,77.5,78.2,77.5,78.1,11050.0
2017-12-15,77.8,78.3,77.7,78.3,11130.0
2017-12-18,78.3,79.0,77.0,79.0,8590.0
2017-12-19,78.0,80.4,77.5,80.0,31900.0
2017-12-20,79.1,80.0,79.1,80.0,34790.0
2017-12-21,79.0,82.5,79.0,82.5,36290.0
2017-12-22,81.0,82.9,81.0,82.0,2150.0
2017-12-25,82.3,82.5,80.3,82.5,3460.0
2017-12-26,80.0,82.8,80.0,82.0,16720.0
2017-12-27,81.5,81.5,80.2,81.5,20670.0
2017-12-28,80.5,82.0,80.5,82.0,6170.0
2017-12-29,82.0,84.0,82.0,84.0,87720.0
2018-01-02,84.0,87.5,84.0,87.5,50680.0
2018-01-03,87.5,89.0,87.5,88.4,22660.0
2018-01-04,88.4,88.4,85.0,86.0,24610.0
2018-01-05,87.0,88.0,86.5,86.5,15060.0
2018-01-08,85.0,87.5,84.5,85.5,9320.0
2018-01-09,85.5,85.5,85.0,85.4,11450.0
2018-01-10,86.0,86.0,82.0,83.0,13690.0
2018-01-11,82.0,86.0,82.0,83.0,32360.0
2018-01-12,82.3,84.9,82.3,84.0,11020.0
2018-01-15,83.2,84.9,83.0,84.9,4420.0
2018-01-16,84.9,84.9,83.5,83.5,12360.0
